Title:,"Time Series, Area-Averaged of Surface Soil moisture daily 0.25 deg. [GLDAS Model (daily)"
User Start Date:,2021-01-01T00:00:00Z
User End Date:,2023-08-30T23:59:59Z
User Bounding Box:,
Data Bounding Box:,
URL to Reproduce Results:,https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2021-01-01T00:00:00Z&endtime=2023-08-30T23:59:59Z&shape=state_dept_countries_2017/shp_246&&data=GLDAS_CLSM025_DA1_D_2_2_SoilMoist_S_tavg&portal=GIOVANNI&format=json
Fill Value (mean_GLDAS_CLSM025_DA1_D_2_2_SoilMoist_S_tavg):,-9999
,
time,mean_GLDAS_CLSM025_DA1_D_2_2_SoilMoist_S_tavg
2021-01-01,5.55469561
2021-01-02,5.52192545
2021-01-03,5.15086603
2021-01-04,5.02995682
2021-01-05,4.94433308
2021-01-06,5.03435802
2021-01-07,5.49103069
2021-01-08,5.52196264
2021-01-09,5.58246946
2021-01-10,5.61826468
2021-01-11,5.74293089
2021-01-12,5.72074366
2021-01-13,5.72398853
2021-01-14,5.85050488
2021-01-15,5.86970043
2021-01-16,5.7638278
2021-01-17,6.03499699
2021-01-18,6.25542831
2021-01-19,6.13348484
2021-01-20,6.1230402
2021-01-21,6.15842104
2021-01-22,5.77942848
2021-01-23,5.97996902
2021-01-24,6.07690144
2021-01-25,6.09500027
2021-01-26,5.83465481
2021-01-27,5.71193457
2021-01-28,5.972188
2021-01-29,6.13621473
2021-01-30,5.78569555
2021-01-31,5.865623
2021-02-01,5.86519909
2021-02-02,6.15392733
2021-02-03,5.80711937
2021-02-04,5.55951309
2021-02-05,5.52667093
2021-02-06,5.59361839
2021-02-07,5.54971933
2021-02-08,5.70904064
2021-02-09,5.65641975
2021-02-10,5.54704475
2021-02-11,5.5315671
2021-02-12,5.4216795
2021-02-13,5.57391596
2021-02-14,5.61673117
2021-02-15,5.78139305
2021-02-16,6.05240107
2021-02-17,5.77289343
2021-02-18,5.47334433
2021-02-19,5.40897608
2021-02-20,5.31068468
2021-02-21,5.33882475
2021-02-22,5.39032698
2021-02-23,5.45990181
2021-02-24,5.28439093
2021-02-25,5.30668926
2021-02-26,5.7781167
2021-02-27,6.15416813
2021-02-28,6.14109612
2021-03-01,5.7748394
2021-03-02,5.53730965
2021-03-03,5.42808628
2021-03-04,5.39756346
2021-03-05,5.33499956
2021-03-06,5.22883797
2021-03-07,5.09247255
2021-03-08,4.97763109
2021-03-09,4.89316797
2021-03-10,4.8096118
2021-03-11,4.72744894
2021-03-12,4.71182346
2021-03-13,4.68151093
2021-03-14,4.64435673
2021-03-15,4.65673065
2021-03-16,4.57793236
2021-03-17,4.52675724
2021-03-18,4.48766899
2021-03-19,4.45158482
2021-03-20,4.3950882
2021-03-21,4.35929489
2021-03-22,4.39755392
2021-03-23,4.5790987
2021-03-24,4.53975677
2021-03-25,4.52659416
2021-03-26,4.63438368
2021-03-27,4.40339613
2021-03-28,4.34823942
2021-03-29,4.32461262
2021-03-30,4.24712658
2021-03-31,4.20513296
2021-04-01,4.15199614
2021-04-02,4.10854006
2021-04-03,4.06956053
2021-04-04,4.09415007
2021-04-05,4.04332018
2021-04-06,4.03900671
2021-04-07,4.02248764
2021-04-08,3.98442245
2021-04-09,3.96490574
2021-04-10,3.95622587
2021-04-11,3.93393779
2021-04-12,3.92452836
2021-04-13,3.9113028
2021-04-14,3.87081242
2021-04-15,3.85455251
2021-04-16,3.86249065
2021-04-17,3.96904206
2021-04-18,3.91842723
2021-04-19,3.91095018
2021-04-20,3.92530203
2021-04-21,3.91149926
2021-04-22,3.9110167
2021-04-23,3.90347266
2021-04-24,3.86628866
2021-04-25,3.81784916
2021-04-26,3.79955816
2021-04-27,3.78731418
2021-04-28,3.77367687
2021-04-29,3.77140236
2021-04-30,3.91082025
2021-05-01,4.20676804
2021-05-02,4.09321928
2021-05-03,3.94814634
2021-05-04,3.92064977
2021-05-05,3.88926792
2021-05-06,3.86385179
2021-05-07,3.86548972
2021-05-08,3.86435485
2021-05-09,3.82722616
2021-05-10,3.8179884
2021-05-11,3.81477022
2021-05-12,3.82150674
2021-05-13,3.817276
2021-05-14,3.80801678
2021-05-15,3.77773356
2021-05-16,3.73531556
2021-05-17,3.70087647
2021-05-18,3.74140286
2021-05-19,3.76377535
2021-05-20,3.75012827
2021-05-21,3.71451521
2021-05-22,3.75731897
2021-05-23,3.86151004
2021-05-24,3.79270101
2021-05-25,3.77210045
2021-05-26,3.74979711
2021-05-27,3.72845745
2021-05-28,3.70956349
2021-05-29,3.67612886
2021-05-30,3.6538198
2021-05-31,3.70390224
2021-06-01,3.68073177
2021-06-02,3.70528793
2021-06-03,3.70405936
2021-06-04,3.73110533
2021-06-05,3.73730779
2021-06-06,3.77138472
2021-06-07,3.85740614
2021-06-08,3.81803226
2021-06-09,3.78369546
2021-06-10,3.76695323
2021-06-11,3.74454999
2021-06-12,3.71918607
2021-06-13,3.69075751
2021-06-14,3.66939878
2021-06-15,3.66681576
2021-06-16,3.66071796
2021-06-17,3.65283132
2021-06-18,3.63158989
2021-06-19,3.81484103
2021-06-20,3.85739946
2021-06-21,3.907933
2021-06-22,3.78941464
2021-06-23,3.75608587
2021-06-24,3.71322989
2021-06-25,3.67463064
2021-06-26,3.63215017
2021-06-27,3.59747815
2021-06-28,3.57933593
2021-06-29,3.55188417
2021-06-30,3.5219903
2021-07-01,3.47598815
2021-07-02,3.44523382
2021-07-03,3.43882513
2021-07-04,3.41777062
2021-07-05,3.43074703
2021-07-06,3.55387044
2021-07-07,3.53818464
2021-07-08,3.51358461
2021-07-09,3.48564839
2021-07-10,3.47677636
2021-07-11,3.46275687
2021-07-12,3.4541924
2021-07-13,3.42262149
2021-07-14,3.51360369
2021-07-15,3.72348952
2021-07-16,3.69700122
2021-07-17,3.59930348
2021-07-18,3.54205179
2021-07-19,3.54791236
2021-07-20,3.50983477
2021-07-21,3.45705605
2021-07-22,3.38909268
2021-07-23,3.37487435
2021-07-24,3.43950248
2021-07-25,3.47617173
2021-07-26,3.50615168
2021-07-27,3.46801925
2021-07-28,3.44763637
2021-07-29,3.40619183
2021-07-30,3.3748827
2021-07-31,3.38236141
2021-08-01,3.36992359
2021-08-02,3.30615282
2021-08-03,3.28347826
2021-08-04,3.27914929
2021-08-05,3.24820518
2021-08-06,3.19692183
2021-08-07,3.14096999
2021-08-08,3.13113546
2021-08-09,3.09431505
2021-08-10,3.16795707
2021-08-11,3.23537731
2021-08-12,3.14727664
2021-08-13,3.21700263
2021-08-14,3.50180721
2021-08-15,3.40504289
2021-08-16,3.32975674
2021-08-17,3.29611278
2021-08-18,3.23559856
2021-08-19,3.13672161
2021-08-20,3.07239079
2021-08-21,3.07879639
2021-08-22,3.09901881
2021-08-23,3.18596053
2021-08-24,3.09912777
2021-08-25,2.99695277
2021-08-26,2.94000745
2021-08-27,2.87792897
2021-08-28,2.80735326
2021-08-29,3.03467584
2021-08-30,3.0209434
2021-08-31,2.9482348
2021-09-01,2.85505438
2021-09-02,2.85648632
2021-09-03,2.84286475
2021-09-04,2.7847681
2021-09-05,2.71771908
2021-09-06,2.65165901
2021-09-07,2.6116662
2021-09-08,2.72714734
2021-09-09,2.85286379
2021-09-10,3.12664747
2021-09-11,2.95662165
2021-09-12,2.85540009
2021-09-13,2.77912307
2021-09-14,2.68488812
2021-09-15,2.57370424
2021-09-16,2.49901938
2021-09-17,2.59800291
2021-09-18,2.83059001
2021-09-19,2.74726892
2021-09-20,2.62966371
2021-09-21,2.50567937
2021-09-22,2.73756576
2021-09-23,2.70334768
2021-09-24,2.60356736
2021-09-25,2.50498462
2021-09-26,2.43161869
2021-09-27,2.38858914
2021-09-28,2.32464027
2021-09-29,2.27018213
2021-09-30,2.36629391
2021-10-01,2.36770225
2021-10-02,2.33730197
2021-10-03,2.51954532
2021-10-04,2.98191357
2021-10-05,2.89309072
2021-10-06,2.7262311
2021-10-07,2.69737315
2021-10-08,2.67829251
2021-10-09,2.51447034
2021-10-10,2.66993904
2021-10-11,2.83087802
2021-10-12,2.68723345
2021-10-13,2.5138936
2021-10-14,2.40004683
2021-10-15,2.33140969
2021-10-16,2.22730017
2021-10-17,2.19126201
2021-10-18,2.96080065
2021-10-19,3.52644086
2021-10-20,3.24267769
2021-10-21,3.03484273
2021-10-22,2.87172627
2021-10-23,2.66784668
2021-10-24,2.89699411
2021-10-25,3.0492568
2021-10-26,2.91031361
2021-10-27,2.98653412
2021-10-28,2.97581267
2021-10-29,2.77954626
2021-10-30,2.70492339
2021-10-31,2.60850763
2021-11-01,2.51728725
2021-11-02,2.43085384
2021-11-03,2.63985181
2021-11-04,2.70757842
2021-11-05,2.50055075
2021-11-06,2.27311206
2021-11-07,2.11799216
2021-11-08,2.00323653
2021-11-09,1.97839963
2021-11-10,2.61049485
2021-11-11,3.18541026
2021-11-12,3.09768248
2021-11-13,2.82062149
2021-11-14,2.79985905
2021-11-15,2.63653088
2021-11-16,2.45645261
2021-11-17,2.35076118
2021-11-18,2.2925365
2021-11-19,2.85405636
2021-11-20,3.82514715
2021-11-21,4.41636372
2021-11-22,4.68431759
2021-11-23,4.4534235
2021-11-24,4.40849352
2021-11-25,4.30778599
2021-11-26,4.22743511
2021-11-27,3.96816993
2021-11-28,3.7931385
2021-11-29,3.63997984
2021-11-30,3.52392149
2021-12-01,3.38672423
2021-12-02,3.26375079
2021-12-03,3.17117119
2021-12-04,3.05211282
2021-12-05,3.07169199
2021-12-06,3.2903409
2021-12-07,3.46905851
2021-12-08,3.56545925
2021-12-09,3.23473883
2021-12-10,3.10191917
2021-12-11,2.87519002
2021-12-12,2.74000001
2021-12-13,2.76703811
2021-12-14,3.43750143
2021-12-15,3.96640134
2021-12-16,4.07679224
2021-12-17,5.0180192
2021-12-18,4.75823069
2021-12-19,4.68344879
2021-12-20,4.822999
2021-12-21,5.00147772
2021-12-22,5.48742008
2021-12-23,4.96775007
2021-12-24,4.83358192
2021-12-25,4.80743599
2021-12-26,5.2288866
2021-12-27,4.54273701
2021-12-28,4.3867774
2021-12-29,4.53242397
2021-12-30,4.48795033
2021-12-31,4.51276112
2022-01-01,4.62747622
2022-01-02,4.65011787
2022-01-03,4.93737364
2022-01-04,5.0218873
2022-01-05,5.0486269
2022-01-06,5.17343092
2022-01-07,5.41372061
2022-01-08,5.36661816
2022-01-09,5.10625172
2022-01-10,4.9797287
2022-01-11,5.23520231
2022-01-12,5.51553249
2022-01-13,5.66649294
2022-01-14,5.72702837
2022-01-15,5.53578472
2022-01-16,5.3277998
2022-01-17,5.34528828
2022-01-18,5.20766926
2022-01-19,4.98741055
2022-01-20,4.79137945
2022-01-21,4.70184755
2022-01-22,4.79182577
2022-01-23,4.73731422
2022-01-24,4.88566923
2022-01-25,5.54243565
2022-01-26,6.02844334
2022-01-27,5.55397606
2022-01-28,5.50594807
2022-01-29,5.67661619
2022-01-30,5.68853283
2022-01-31,5.30425453
2022-02-01,5.07187128
2022-02-02,4.93702459
2022-02-03,4.89315414
2022-02-04,5.04097557
2022-02-05,5.40626764
2022-02-06,4.99560452
2022-02-07,4.82918835
2022-02-08,4.65915966
2022-02-09,4.54818153
2022-02-10,4.56754589
2022-02-11,4.73648167
2022-02-12,4.49123096
2022-02-13,4.3027935
2022-02-14,4.21335888
2022-02-15,4.25080967
2022-02-16,4.22765303
2022-02-17,4.14648247
2022-02-18,4.23661327
2022-02-19,4.12082434
2022-02-20,4.05440617
2022-02-21,3.9964385
2022-02-22,4.00350428
2022-02-23,3.94649649
2022-02-24,3.95170927
2022-02-25,3.88802743
2022-02-26,3.82925725
2022-02-27,3.79511404
2022-02-28,3.71337223
2022-03-01,3.65937543
2022-03-02,3.72976041
2022-03-03,3.73732448
2022-03-04,3.78732491
2022-03-05,3.80247355
2022-03-06,3.79743361
2022-03-07,3.90175653
2022-03-08,3.93183327
2022-03-09,3.98917937
2022-03-10,3.82631135
2022-03-11,3.70323157
2022-03-12,3.71720052
2022-03-13,3.71447253
2022-03-14,3.72304153
2022-03-15,4.15865707
2022-03-16,4.90310621
2022-03-17,5.15719175
2022-03-18,4.62795591
2022-03-19,4.32034206
2022-03-20,4.23546028
2022-03-21,4.17596579
2022-03-22,4.12183142
2022-03-23,4.11177969
2022-03-24,4.05431032
2022-03-25,4.16962671
2022-03-26,4.88162899
2022-03-27,4.78537464
2022-03-28,4.50304604
2022-03-29,4.30976629
2022-03-30,4.21584177
2022-03-31,4.11382437
2022-04-01,4.07312393
2022-04-02,4.05242491
2022-04-03,4.07917881
2022-04-04,4.2752347
2022-04-05,4.41657782
2022-04-06,4.26496744
2022-04-07,4.15781403
2022-04-08,4.41412163
2022-04-09,4.40766811
2022-04-10,4.49573278
2022-04-11,4.34332085
2022-04-12,4.22469091
2022-04-13,4.13309765
2022-04-14,4.18869829
2022-04-15,4.14329386
2022-04-16,4.58773184
2022-04-17,4.4118824
2022-04-18,4.25852823
2022-04-19,4.52845049
2022-04-20,4.92787933
2022-04-21,5.21188831
2022-04-22,4.73643446
2022-04-23,4.5300746
2022-04-24,4.44232845
2022-04-25,4.36262894
2022-04-26,4.413095
2022-04-27,4.39290905
2022-04-28,4.30476236
2022-04-29,4.22282457
2022-04-30,4.14685583
2022-05-01,4.15575409
2022-05-02,4.14597893
2022-05-03,4.12737656
2022-05-04,4.08094168
2022-05-05,4.0529561
2022-05-06,4.0011611
2022-05-07,3.95725727
2022-05-08,3.91099358
2022-05-09,3.88072515
2022-05-10,3.85168195
2022-05-11,3.82183647
2022-05-12,3.79986668
2022-05-13,3.77877378
2022-05-14,3.73192358
2022-05-15,3.73301196
2022-05-16,3.84535813
2022-05-17,3.86638308
2022-05-18,3.86550426
2022-05-19,3.79058981
2022-05-20,3.73856401
2022-05-21,3.9364953
2022-05-22,4.05582571
2022-05-23,3.79437065
2022-05-24,3.75621462
2022-05-25,3.7199266
2022-05-26,3.6756556
2022-05-27,3.68530679
2022-05-28,3.68569636
2022-05-29,3.65663528
2022-05-30,3.62423635
2022-05-31,3.65168691
2022-06-01,3.6280725
2022-06-02,3.60949302
2022-06-03,3.67144227
2022-06-04,3.69841623
2022-06-05,3.63351607
2022-06-06,3.73633265
2022-06-07,3.67525315
2022-06-08,3.64709282
2022-06-09,3.65760612
2022-06-10,3.63001108
2022-06-11,3.66172123
2022-06-12,3.61773086
2022-06-13,3.58521152
2022-06-14,3.55184627
2022-06-15,3.50370574
2022-06-16,3.49048567
2022-06-17,3.50309992
2022-06-18,3.49695015
2022-06-19,3.46981335
2022-06-20,3.45353818
2022-06-21,3.50499558
2022-06-22,3.51213932
2022-06-23,3.50053668
2022-06-24,3.45622277
2022-06-25,3.4902072
2022-06-26,3.8186748
2022-06-27,3.74044752
2022-06-28,3.82605267
2022-06-29,4.25915098
2022-06-30,4.30193281
2022-07-01,4.09572458
2022-07-02,4.00109482
2022-07-03,3.89853621
2022-07-04,3.83643746
2022-07-05,3.80383277
2022-07-06,3.76423311
2022-07-07,3.72468925
2022-07-08,3.69218421
2022-07-09,3.67447996
2022-07-10,3.64597654
2022-07-11,3.61686492
2022-07-12,3.57893348
2022-07-13,3.57635832
2022-07-14,3.53043699
2022-07-15,3.49941611
2022-07-16,3.54022503
2022-07-17,3.57389307
2022-07-18,3.61031222
2022-07-19,3.57920694
2022-07-20,3.56155252
2022-07-21,3.61052847
2022-07-22,3.574368
2022-07-23,3.49524069
2022-07-24,3.42518973
2022-07-25,3.4464128
2022-07-26,3.42371655
2022-07-27,3.37673831
2022-07-28,3.34252715
2022-07-29,3.31876469
2022-07-30,3.27833104
2022-07-31,3.22033191
2022-08-01,3.28978801
2022-08-02,3.4056673
2022-08-03,3.3163178
2022-08-04,3.26092005
2022-08-05,3.19070029
2022-08-06,3.12779999
2022-08-07,3.06882548
2022-08-08,3.01626706
2022-08-09,2.97348022
2022-08-10,2.97068095
2022-08-11,2.95085502
2022-08-12,2.91981721
2022-08-13,2.86891174
2022-08-14,2.79432988
2022-08-15,2.74700689
2022-08-16,2.79012465
2022-08-17,2.77109456
2022-08-18,2.69562078
2022-08-19,2.62772775
2022-08-20,2.60977817
2022-08-21,2.68347144
2022-08-22,2.72521019
2022-08-23,2.71770501
2022-08-24,2.71495628
2022-08-25,2.67656016
2022-08-26,2.60998917
2022-08-27,2.54736972
2022-08-28,2.50344682
2022-08-29,2.4662385
2022-08-30,2.55104661
2022-08-31,2.80756211
2022-09-01,2.75049138
2022-09-02,2.71088862
2022-09-03,2.63861132
2022-09-04,2.54430842
2022-09-05,2.44940019
2022-09-06,2.41314292
2022-09-07,2.59306622
2022-09-08,2.59107351
2022-09-09,2.51131058
2022-09-10,2.4186132
2022-09-11,2.32989764
2022-09-12,2.27050734
2022-09-13,2.44077945
2022-09-14,2.77519202
2022-09-15,2.64237952
2022-09-16,2.51958299
2022-09-17,2.41270137
2022-09-18,2.3289957
2022-09-19,2.24026775
2022-09-20,2.25883102
2022-09-21,2.56106901
2022-09-22,2.48192072
2022-09-23,2.39475703
2022-09-24,2.33893561
2022-09-25,2.28591204
2022-09-26,2.22552252
2022-09-27,2.17180586
2022-09-28,2.19436741
2022-09-29,2.20086241
2022-09-30,2.1596911
2022-10-01,2.10522747
2022-10-02,2.06747413
2022-10-03,2.01578331
2022-10-04,1.94825089
2022-10-05,1.94969285
2022-10-06,1.94479394
2022-10-07,1.90235817
2022-10-08,1.92947519
2022-10-09,1.94405389
2022-10-10,1.93576002
2022-10-11,1.97972
2022-10-12,1.96066976
2022-10-13,1.91006863
2022-10-14,1.86883187
2022-10-15,1.8667469
2022-10-16,1.9500618
2022-10-17,1.97986889
2022-10-18,1.97517133
2022-10-19,2.00432801
2022-10-20,2.03509116
2022-10-21,2.02724123
2022-10-22,2.00879955
2022-10-23,2.08543181
2022-10-24,2.23996067
2022-10-25,2.2770288
2022-10-26,2.11100078
2022-10-27,2.48594213
2022-10-28,2.7909925
2022-10-29,2.79113054
2022-10-30,2.59937072
2022-10-31,2.68364859
2022-11-01,3.97636676
2022-11-02,4.1365242
2022-11-03,3.74926567
2022-11-04,3.86559844
2022-11-05,4.22278547
2022-11-06,3.9006784
2022-11-07,4.15463924
2022-11-08,4.51764774
2022-11-09,4.36852646
2022-11-10,4.4538002
2022-11-11,4.74613953
2022-11-12,4.64041758
2022-11-13,4.82376814
2022-11-14,5.09566164
2022-11-15,4.48705959
2022-11-16,4.16870213
2022-11-17,3.99901319
2022-11-18,3.85992861
2022-11-19,3.74122667
2022-11-20,3.68402004
2022-11-21,3.76458812
2022-11-22,3.97494578
2022-11-23,4.00999546
2022-11-24,3.98809028
2022-11-25,3.96483374
2022-11-26,4.37067032
2022-11-27,5.08485556
2022-11-28,5.15504026
2022-11-29,4.77661848
2022-11-30,4.4521575
2022-12-01,4.19971371
2022-12-02,4.0698843
2022-12-03,3.93727517
2022-12-04,3.84298205
2022-12-05,3.74972653
2022-12-06,4.33381128
2022-12-07,4.70315838
2022-12-08,4.70700026
2022-12-09,4.76448011
2022-12-10,4.64385939
2022-12-11,4.43128347
2022-12-12,4.20618057
2022-12-13,4.18509054
2022-12-14,4.34655571
2022-12-15,4.43852615
2022-12-16,4.82354593
2022-12-17,4.80262136
2022-12-18,5.07037783
2022-12-19,4.81009865
2022-12-20,4.71285152
2022-12-21,4.93080807
2022-12-22,4.71682215
2022-12-23,4.37441874
2022-12-24,4.23210096
2022-12-25,4.0867219
2022-12-26,3.9745543
2022-12-27,3.88676667
2022-12-28,3.82238603
2022-12-29,3.79266
2022-12-30,4.13302565
2022-12-31,4.56037617
2023-01-01,4.41615009
2023-01-02,4.56879282
2023-01-03,4.54145384
2023-01-04,4.41764307
2023-01-05,4.9904356
2023-01-06,5.32839584
2023-01-07,5.52965021
2023-01-08,5.13973665
2023-01-09,5.09057426
2023-01-10,5.06093359
2023-01-11,4.79618073
2023-01-12,4.58549356
2023-01-13,4.66668272
2023-01-14,4.60246038
2023-01-15,4.62626219
2023-01-16,5.13674498
2023-01-17,5.12481737
2023-01-18,5.12010098
2023-01-19,5.16609144
2023-01-20,5.09920835
2023-01-21,4.91124582
2023-01-22,4.9833436
2023-01-23,5.43172503
2023-01-24,5.40984774
2023-01-25,5.25785065
2023-01-26,4.96607685
2023-01-27,4.74684429
2023-01-28,4.59107304
2023-01-29,4.43792868
2023-01-30,4.69856071
2023-01-31,4.83821297
2023-02-01,5.03273964
2023-02-02,4.84649515
2023-02-03,4.92052889
2023-02-04,5.16057825
2023-02-05,5.12369442
2023-02-06,4.79867029
2023-02-07,4.61412334
2023-02-08,4.82905865
2023-02-09,5.22289038
2023-02-10,5.21834278
2023-02-11,5.02195787
2023-02-12,5.04066277
2023-02-13,5.42552948
2023-02-14,5.68264914
2023-02-15,5.69677401
2023-02-16,5.73370838
2023-02-17,5.91305685
2023-02-18,6.26818323
2023-02-19,5.93673897
2023-02-20,5.71491909
2023-02-21,5.34508085
2023-02-22,5.48970509
2023-02-23,5.20124197
2023-02-24,5.05664492
2023-02-25,4.99056721
2023-02-26,5.13570881
2023-02-27,5.38249063
2023-02-28,5.26658916
2023-03-01,5.13928509
2023-03-02,5.01474047
2023-03-03,4.93793678
2023-03-04,4.82235575
2023-03-05,4.74422455
2023-03-06,4.65049744
2023-03-07,4.62250662
2023-03-08,4.51185942
2023-03-09,4.38133907
2023-03-10,4.37402248
2023-03-11,4.37636471
2023-03-12,4.46643686
2023-03-13,4.65767288
2023-03-14,4.57860613
2023-03-15,4.48686981
2023-03-16,4.46696186
2023-03-17,4.42939854
2023-03-18,4.33208752
2023-03-19,4.21801233
2023-03-20,4.17410231
2023-03-21,4.15702629
2023-03-22,4.14542675
2023-03-23,4.20512342
2023-03-24,4.21111917
2023-03-25,4.10634947
2023-03-26,4.0130558
2023-03-27,4.26778507
2023-03-28,4.2729044
2023-03-29,4.16786861
2023-03-30,4.17799807
2023-03-31,4.27720737
2023-04-01,4.10051727
2023-04-02,4.01958132
2023-04-03,3.99343944
2023-04-04,3.90899873
2023-04-05,3.97548461
2023-04-06,3.90540385
2023-04-07,3.85326171
2023-04-08,3.79015326
2023-04-09,3.75280809
2023-04-10,3.74913263
2023-04-11,4.1004467
2023-04-12,3.95548868
2023-04-13,3.82687569
2023-04-14,3.75335264
2023-04-15,3.87930346
2023-04-16,3.93121195
2023-04-17,3.82315254
2023-04-18,3.78403473
2023-04-19,3.7661469
2023-04-20,3.73718596
2023-04-21,3.6979754
2023-04-22,3.67311549
2023-04-23,3.62533331
2023-04-24,3.60374403
2023-04-25,3.56484151
2023-04-26,3.56374407
2023-04-27,3.56508088
2023-04-28,3.54389358
2023-04-29,3.52010655
2023-04-30,3.5109961
2023-05-01,3.61829376
2023-05-02,3.55224967
2023-05-03,3.5158205
2023-05-04,3.51347351
2023-05-05,3.48221993
2023-05-06,3.45077872
2023-05-07,3.42710376
2023-05-08,3.43777347
2023-05-09,3.4751842
2023-05-10,3.5059104
2023-05-11,3.4731071
2023-05-12,3.41735697
2023-05-13,3.38438153
2023-05-14,3.37625217
2023-05-15,3.3775878
2023-05-16,3.46067977
2023-05-17,3.47325778
2023-05-18,3.53518105
2023-05-19,3.41096282
2023-05-20,3.40861535
2023-05-21,3.37741804
2023-05-22,3.33827925
2023-05-23,3.38917375
2023-05-24,3.35104227
2023-05-25,3.32453299
2023-05-26,3.30405879
2023-05-27,3.32913375
2023-05-28,3.32788181
2023-05-29,3.31634784
2023-05-30,3.31556511
2023-05-31,3.29492855
2023-06-01,3.26228857
2023-06-02,3.22727966
2023-06-03,3.18800378
2023-06-04,3.15215635
2023-06-05,3.11650825
2023-06-06,3.1756525
2023-06-07,3.18955135
2023-06-08,3.17044854
2023-06-09,3.12057281
2023-06-10,3.08618546
2023-06-11,3.12194014
2023-06-12,3.11562657
2023-06-13,3.05882692
2023-06-14,3.02150631
2023-06-15,2.9864521
2023-06-16,2.95743394
2023-06-17,2.99221253
2023-06-18,3.02052045
2023-06-19,3.01818943
2023-06-20,2.99063468
2023-06-21,3.00454545
2023-06-22,3.01649952
2023-06-23,3.13092828
2023-06-24,3.14284635
2023-06-25,3.11962485
2023-06-26,3.09791899
2023-06-27,3.08923745
2023-06-28,3.08547831
2023-06-29,3.06784415
2023-06-30,3.03751183
2023-07-01,3.03631783
2023-07-02,3.06641126
2023-07-03,3.16220069
2023-07-04,3.15939522
2023-07-05,3.12357569
2023-07-06,3.13479018
2023-07-07,3.16941261
2023-07-08,3.15651298
2023-07-09,3.11473823
2023-07-10,3.15926099
2023-07-11,3.29875851
2023-07-12,3.35176182
2023-07-13,3.33465838
2023-07-14,3.3128531
2023-07-15,3.30984664
2023-07-16,3.25764728
2023-07-17,3.19829798
2023-07-18,3.16701245
2023-07-19,3.13920212
2023-07-20,3.21372151
2023-07-21,3.43576527
2023-07-22,3.34914517
2023-07-23,3.2615819
2023-07-24,3.1925962
2023-07-25,3.26718044
2023-07-26,3.27968001
2023-07-27,3.22912025
2023-07-28,3.16835642
2023-07-29,3.10716128
2023-07-30,3.03745508
2023-07-31,2.99344444
2023-08-01,3.01555085
2023-08-02,3.13111472
2023-08-03,3.13522172
2023-08-04,3.12120843
2023-08-05,3.12238765
2023-08-06,3.15539312
2023-08-07,3.08682466
2023-08-08,3.01866484
2023-08-09,2.98712826
2023-08-10,3.21530724
2023-08-11,3.15465093
2023-08-12,3.0854845
2023-08-13,3.00718617
2023-08-14,2.9242537
2023-08-15,2.83318496
2023-08-16,2.87323594
2023-08-17,2.85609102
2023-08-18,2.79865074
2023-08-19,2.74937582
2023-08-20,2.70445132
2023-08-21,2.64620233
2023-08-22,2.56482768
2023-08-23,2.48731399
2023-08-24,2.47195387
2023-08-25,2.47921562
2023-08-26,2.42733073
2023-08-27,2.65596914
2023-08-28,2.7392354
2023-08-29,2.7868011
2023-08-30,2.81691265